vakna;vaknade;vaknat
drömma;drömde;drömt
kämpa;kämpade;kämpat
bygga ;byggde;byggt
tänka;tänkte;tänkt
längta;längtade ;längtat
vila;vilade;vilat
sila;silade;silat
äta;åt;ätit
väsa;väst;väst
springa;sprang;sprungit
