och;✉️
brev;😡
mail;😞
läsa;😼
dator;😆
iphone;🤔
mobbe;none
mobba;none
skola;🙉
skolan;✏️
skolor;🤔
lärare;🌺
lära;🤡
lite;🛩
plugga;🙃
måste;❓
nätet;😢
knöl;none
kniv;😬
laga;😫
mat;🥓
inse;🙂
lyssna;👂
bey;none
queen;💋
slakt;🐮
djut;none
sjur;none
djur;💔
älska;💎
älskar;💘
dig;💟
ofta;🕊
fred;⭐
fisk;😂
fsckl;none
fort;📉
ned;❗
upp;🎣
